订单编号,日期,省,订单量,单价,销售额
87af-48e5-8bed-c5dcf9ecc172,2020-01-01,广东,0.0,30.0,0.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-01,河南,0.0,30.0,0.0
a56d-4415-ad6e-020cdb154c35,2020-01-01,湖北,1.0,30.0,30.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-01,河南,0.0,30.0,0.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-01,河南,0.0,30.0,0.0
953f-4b46-a8a2-0eb0e39818a8,2020-01-01,其他,0.0,30.0,0.0
953f-4b46-a8a2-0eb0e39818a8,2020-01-01,湖北,1.0,30.0,30.0
953f-4b46-a8a2-0eb0e39818a8,2020-01-01,河南,0.0,30.0,0.0
d707-4d5c-ac10-59d3fd3dc0bb,2020-01-01,湖北,0.0,30.0,0.0
d707-4d5c-ac10-59d3fd3dc0bb,2020-01-01,湖南,0.0,30.0,0.0
d707-4d5c-ac10-59d3fd3dc0bb,2020-01-01,其他,0.0,30.0,0.0
87af-48e5-8bed-c5dcf9ecc172,2020-01-01,湖北,1.0,30.0,30.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-01,湖南,1.0,30.0,30.0
d707-4d5c-ac10-59d3fd3dc0bb,2020-01-01,广东,1.0,30.0,30.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-01,其他,0.0,30.0,0.0
a56d-4415-ad6e-020cdb154c35,2020-01-01,河南,1.0,30.0,30.0
7b1f-49d1-991e-6480ffe0c6c4,2020-01-01,河南,0.0,30.0,0.0
7b1f-49d1-991e-6480ffe0c6c4,2020-01-01,江苏,0.0,30.0,0.0
953f-4b46-a8a2-0eb0e39818a8,2020-01-01,江苏,1.0,30.0,30.0
2b31-4392-be6e-19af71e40261,2020-01-01,其他,0.0,30.0,0.0
70f3-4461-9b5f-7f53a55c51b6,2020-01-01,广东,1.0,30.0,30.0
a56d-4415-ad6e-020cdb154c35,2020-01-01,广东,0.0,30.0,0.0
a56d-4415-ad6e-020cdb154c35,2020-01-01,其他,1.0,30.0,30.0
7b1f-49d1-991e-6480ffe0c6c4,2020-01-01,湖南,0.0,30.0,0.0
7b1f-49d1-991e-6480ffe0c6c4,2020-01-01,湖北,1.0,30.0,30.0
2b31-4392-be6e-19af71e40261,2020-01-01,湖北,1.0,30.0,30.0
d707-4d5c-ac10-59d3fd3dc0bb,2020-01-01,江苏,1.0,30.0,30.0
70f3-4461-9b5f-7f53a55c51b6,2020-01-01,湖北,1.0,30.0,30.0
7b1f-49d1-991e-6480ffe0c6c4,2020-01-01,广东,0.0,30.0,0.0
87af-48e5-8bed-c5dcf9ecc172,2020-01-01,江苏,1.0,30.0,30.0
87af-48e5-8bed-c5dcf9ecc172,2020-01-01,其他,0.0,30.0,0.0
a56d-4415-ad6e-020cdb154c35,2020-01-01,湖南,1.0,30.0,30.0
87af-48e5-8bed-c5dcf9ecc172,2020-01-01,湖南,1.0,30.0,30.0
d707-4d5c-ac10-59d3fd3dc0bb,2020-01-01,河南,1.0,30.0,30.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-01,江苏,1.0,30.0,30.0
2b31-4392-be6e-19af71e40261,2020-01-01,江苏,0.0,30.0,0.0
2b31-4392-be6e-19af71e40261,2020-01-01,广东,0.0,30.0,0.0
953f-4b46-a8a2-0eb0e39818a8,2020-01-01,广东,1.0,30.0,30.0
953f-4b46-a8a2-0eb0e39818a8,2020-01-01,湖南,0.0,30.0,0.0
87af-48e5-8bed-c5dcf9ecc172,2020-01-01,河南,0.0,30.0,0.0
7b1f-49d1-991e-6480ffe0c6c4,2020-01-01,其他,0.0,30.0,0.0
a56d-4415-ad6e-020cdb154c35,2020-01-01,江苏,1.0,30.0,30.0
2b31-4392-be6e-19af71e40261,2020-01-02,湖北,0.0,30.0,0.0
535a-4eca-8fa0-9cc54c66e11d,2020-01-02,江苏,0.0,30.0,0.0
87af-48e5-8bed-c5dcf9ecc172,2020-01-02,湖北,0.0,30.0,0.0
